,P0,P1,P2,P3,P4,P5,P6,P7
-,0,649,4829,1323,1699,0,0,0
*,0,2978,774,1256,940,0,0,0
/,0,414,1354,1527,1103,0,0,0
+,0,2002,3405,1606,471,0,0,0
=,0,0,0,0,1318,10515,5890,0
0,0,1480,258,252,720,229,214,1830
1,3255,1133,1048,2017,1695,1063,2525,1698
2,2107,1292,793,1949,1349,902,1510,1868
3,1875,1069,647,1645,1281,787,1245,1648
4,1846,1240,789,1547,1251,783,1186,1839
5,1716,1138,730,1321,1208,726,1095,1740
6,1733,1194,802,1140,1192,722,1055,1844
7,1683,1011,674,860,1159,655,1003,1657
8,1708,1159,844,743,1152,695,976,1881
9,1800,964,776,537,1185,646,1024,1718
