Guess1,Guess2,Probability
1*7+01=8,64-25=39,0.6360097049032424
34*+2=68,70-11=59,0.6358404333352209
4*6+8=32,70-11=59,0.6347683800711039
1*7+01=8,64-29=35,0.6342605653670498
4*12/8=6,90-33=57,0.6335834790949713
2*9/03=6,41+17=58,0.6329063928229043
2*8-07=9,35+11=46,0.6329063928228952
1*72/8=9,50-36=14,0.6325114258308534
40-12=28,9*6+3=57,0.632172882694813
2*013=26,57-+49=8,0.6318907634147849
2*8+9=25,60-17=43,0.6314957964227426
2*6-05=7,38+11=49,0.6314957964227337
3*6/09=2,58-11=47,0.6313265248547173
2*8-09=7,51+13=64,0.6305365908706283
17+21=38,9*6-50=4,0.6304237431586094
64-25=39,7*1+01=8,0.6296902330305327
1*1+07=8,64-29=35,0.6285617559104089
3+9*6=57,40-22=18,0.6282232127743741
3+9*6=57,40-12=28,0.6279975173503498
2*8+9=25,60-43=17,0.6278282457823271
85-11=74,9*02/3=6,0.6276025503582923
58-11=47,6*03/2=9,0.6275461265022946
2*8+9=25,60-47=13,0.6273768549342785
3*+29=87,50-14=36,0.6272640072222682
3*8/06=4,71-12=59,0.6266433448061911
20+14=34,9*8-65=7,0.6263612255261577
31+15=46,8*02-7=9,0.6263612255261574
15+19=34,2*7-08=6,0.6257969869661014
2*9/03=6,58-17=41,0.6254584438300629
1*9+5=14,76/38=02,0.6254584438300588
40-14=26,8*7+3=59,0.6254020199740508
17+21=38,6*9-4=50,0.6252327484060347
15+19=34,7*02-6=8,0.6251199006940192
4*02-5=3,86+11=97,0.6246120859899653
4*7+8=36,50-21=29,0.624499238277952
4*7+2=30,69-11=58,0.6244428144219508
1*72/9=8,50-14=36,0.6243863905659436
5*1+9=14,78/26=03,0.6242735428539268
4*7+6=34,80-21=59,0.6238221520058742
1*3+01=4,86-29=57,0.6237657281498701
17+41=58,9*02/6=3,0.623540032725841
2*4-05=3,68+11=79,0.62337076115782
3*+29=87,64-10=54,0.6232579134458179
35+11=46,8*2-07=9,0.6232579134458068
3*21/9=7,80-24=56,0.623201489589807
35+14=49,7*02-6=8,0.6231450657337966
2*6-7=05,38+11=49,0.623088641877793
