52-34=18,1703,52387/17723
48-32=16,1689,52376/17723
62-43=19,1687,52430/17723
72-14=58,1687,52530/17723
52-38=14,1687,52412/17723
54-36=18,1685,52363/17723
56-37=19,1684,52446/17723
68-21=47,1683,52453/17723
62-13=49,1681,52529/17723
54-38=16,1680,52354/17723
56-39=17,1680,52453/17723
58-21=37,1678,52424/17723
72-54=18,1678,52431/17723
45-27=18,1677,52391/17723
84-21=63,1677,52440/17723
56-19=37,1676,52513/17723
58-42=16,1675,52427/17723
54-18=36,1672,52414/17723
62-49=13,1671,52498/17723
74-21=53,1671,52411/17723
54-16=38,1670,52416/17723
72-13=59,1668,52547/17723
71-23=48,1668,52513/17723
57-21=36,1668,52521/17723
58-12=46,1668,52468/17723
72-18=54,1668,52525/17723
72-53=19,1668,52483/17723
45-17=28,1667,1419/479
68-27=41,1665,52520/17723
56-17=39,1664,52511/17723
52-14=38,1663,52514/17723
48-12=36,1661,52480/17723
72-58=14,1659,52487/17723
71-43=28,1659,52552/17723
46-27=19,1658,52399/17723
61-34=27,1658,52639/17723
48-36=12,1657,52444/17723
