Guess,Probability
52-34=18,0.09608982677875756
48-32=16,0.09529989279466848
72-14=58,0.09518704508265755
62-43=19,0.09518704508265681
52-38=14,0.09518704508265577
54-36=18,0.09507419737064515
56-37=19,0.09501777351463911
68-21=47,0.09496134965863226
62-13=49,0.0948485019466186
54-38=16,0.09479207809061538
56-39=17,0.09479207809061169
72-54=18,0.09467923037860076
58-21=37,0.09467923037859931
45-27=18,0.09462280652259386
84-21=63,0.09462280652259318
56-19=37,0.09456638266658689
58-42=16,0.0945099588105795
54-18=36,0.0943406872425636
62-49=13,0.09428426338655677
74-21=53,0.09428426338655567
54-16=38,0.09422783953054997
72-13=59,0.09411499181853851
72-53=19,0.09411499181853822
71-23=48,0.09411499181853797
57-21=36,0.094114991818537
72-18=54,0.0941149918185365
58-12=46,0.09411499181853536
45-17=28,0.09405856796253079
68-27=41,0.09394572025051762
56-17=39,0.0938892963945123
52-14=38,0.09383287253850557
48-12=36,0.093720024826491
72-58=14,0.09360717711448101
71-43=28,0.0936071771144806
61-34=27,0.09355075325847574
46-27=19,0.0935507532584748
48-36=12,0.09349432940246732
68-41=27,0.09338148169045542
69-21=48,0.09338148169045513
61-24=37,0.09315578626643128
62-19=43,0.09315578626643017
61-37=24,0.09315578626642979
47-32=15,0.0931557862664268
58-31=27,0.09309936241042227
58-46=12,0.09309936241042194
46-19=27,0.09304293855441965
81-24=57,0.09304293855441757
64-29=35,0.0930429385544175
81-27=54,0.09304293855441718
45-28=17,0.09304293855441596
68-23=45,0.0929865146984114
63-15=48,0.09298651469840996
45-18=27,0.09298651469840959
84-23=61,0.09293009084240456
73-54=19,0.09293009084240295
52-18=34,0.09281724313039234
62-47=15,0.0928172431303912
46-29=17,0.09276081927438658
69-41=28,0.09270439541837894
73-14=59,0.09270439541837791
43-27=16,0.09264797156237328
74-23=51,0.09259154770636562
49-32=17,0.09253512385036136
45-26=19,0.09253512385036058
46-17=29,0.09247869999435418
72-19=53,0.092478699994354
78-32=46,0.09242227613834739
68-47=21,0.09242227613834726
71-28=43,0.09242227613834711
84-61=23,0.09242227613834707
91-34=57,0.0923658522823413
72-59=13,0.09236585228234093
61-27=34,0.09230942842633612
78-42=36,0.09230942842633583
74-16=58,0.09230942842633558
65-27=38,0.09225300457032881
49-37=12,0.09225300457032869
57-31=26,0.09225300457032844
47-29=18,0.09225300457032828
64-25=39,0.09219658071432503
75-26=49,0.09219658071432255
58-27=31,0.09219658071432188
45-29=16,0.09214015685831575
71-48=23,0.09214015685831566
68-25=43,0.09208373300231106
81-57=24,0.09208373300231029
84-63=21,0.09208373300230897
74-51=23,0.09202730914630276
94-21=73,0.09197088529029739
43-25=18,0.09191446143429145
59-47=12,0.09191446143429047
62-17=45,0.09191446143428962
48-16=32,0.09191446143428945
85-21=64,0.09185803757828569
59-42=17,0.09185803757828474
86-32=54,0.09185803757828474
95-31=64,0.09185803757828448
81-54=27,0.09185803757828383
65-17=48,0.09180161372227963
75-29=46,0.09180161372227849
58-16=42,0.09180161372227566
59-43=16,0.09174518986627289
74-18=56,0.09174518986627171
79-21=58,0.09174518986627124
63-18=45,0.09174518986627107
91-37=54,0.09168876601026629
59-31=28,0.09168876601026604
73-19=54,0.09168876601026513
47-28=19,0.09163234215425944
57-39=18,0.09163234215425888
43-28=15,0.09163234215425836
68-43=25,0.09157591829825364
62-15=47,0.09157591829825297
60-12=48,0.09157591829825244
64-39=25,0.0915194944422476
63-45=18,0.09151949444224726
57-19=38,0.09151949444224496
43-26=17,0.09146307058624199
49-12=37,0.09146307058624102
81-32=49,0.09140664673023516
59-12=47,0.09140664673023367
65-37=28,0.09140664673023298
59-21=38,0.09140664673023259
87-31=56,0.09140664673023254
79-23=56,0.0913502228742283
47-19=28,0.09135022287422812
47-12=35,0.09135022287422633
93-41=52,0.0912937990182223
57-38=19,0.09129379901822002
63-48=15,0.09123737516221601
59-13=46,0.09123737516221532
62-45=17,0.09123737516221482
94-23=71,0.09123737516221482
45-16=29,0.09118095130620928
74-53=21,0.09118095130620714
71-26=45,0.09112452745020218
82-63=19,0.091124527450202
73-59=14,0.0911245274502019
47-35=12,0.09112452745020108
58-37=21,0.09112452745020097
67-29=38,0.09106810359419484
45-19=26,0.0910681035941942
87-23=64,0.09101167973819073
75-46=29,0.09101167973819035
60-42=18,0.091011679738189
75-49=26,0.09095525588218477
65-18=47,0.09095525588218419
43-16=27,0.09095525588218381
98-31=67,0.09095525588218374
95-21=74,0.09095525588218266
57-26=31,0.09089883202617856
71-25=46,0.09089883202617649
67-49=18,0.0908988320261763
81-35=46,0.09084240817017296
86-34=52,0.09078598431416435
50-34=16,0.09078598431416311
81-39=42,0.09072956045815936
67-28=39,0.09072956045815737
91-27=64,0.09067313660215287
91-24=67,0.09067313660215252
79-51=28,0.09067313660215105
65-47=18,0.09061671274614691
91-23=68,0.09061671274614545
43-18=25,0.09061671274614486
43-17=26,0.09061671274614436
57-18=39,0.09061671274614433
93-51=42,0.09056028889014044
86-14=72,0.09056028889013854
97-41=56,0.09050386503413499
68-45=23,0.09050386503413384
81-42=39,0.0905038650341334
82-13=69,0.09050386503413257
65-28=37,0.09044744117812863
64-35=29,0.09044744117812796
43-15=28,0.09044744117812795
74-56=18,0.09044744117812725
78-46=32,0.09044744117812509
49-17=32,0.09039101732212067
92-34=58,0.0903910173221202
98-41=57,0.09039101732212013
67-48=19,0.0903910173221201
95-34=61,0.09039101732211988
50-32=18,0.09039101732211947
67-18=49,0.09039101732211921
87-24=63,0.09033459346611508
83-24=59,0.09033459346611308
85-24=61,0.09027816961010957
79-26=53,0.0902781696101083
81-49=32,0.09027816961010819
73-25=48,0.09022174575410256
79-31=48,0.09022174575410179
76-41=35,0.0902217457541014
69-12=57,0.09022174575410136
59-46=13,0.09022174575410122
69-28=41,0.0902217457541005
59-17=42,0.09022174575410025
85-61=24,0.0901653218980957
75-12=63,0.0901653218980953
60-21=39,0.0901653218980944
98-42=56,0.09010889804209171
81-45=36,0.09010889804209062
82-17=65,0.09010889804208937
82-47=35,0.09010889804208928
75-62=13,0.09010889804208866
