Guess,Probability
+0/+01=0,0.007504372848841569
+0/+02=0,0.008914969248997895
+0/+03=0,0.008576426112960523
+0/+04=0,0.008914969248998124
+0/+05=0,0.008068611408904046
+0/+06=0,0.008802121536986035
+0/+07=0,0.008125035264910506
+0/+08=0,0.008576426112959857
+0/+09=0,0.007335101280822375
+0/+1=+0,0.006996558144783603
+0/+1=00,0.007673644416859376
+0/+10=0,0.00767364441685979
+0/+11=0,0.012413248321389335
+0/+12=0,0.0164193420978385
+0/+13=0,0.016193646673812626
+0/+14=0,0.016701461377870323
+0/+15=0,0.015855103537775066
+0/+16=0,0.016475765953845343
+0/+17=0,0.015629408113750336
+0/+18=0,0.01619364667381399
+0/+19=0,0.014500930993624695
+0/+2=+0,0.007899339840884225
+0/+2=00,0.008689273824972197
+0/+20=0,0.008971393105003974
+0/+21=0,0.01591152739378212
+0/+22=0,0.014500930993622664
+0/+23=0,0.017717090785984047
+0/+24=0,0.0188455679061091
+0/+25=0,0.01726569993793309
+0/+26=0,0.018112057778026637
+0/+27=0,0.017265699937933712
+0/+28=0,0.01782993849799774
+0/+29=0,0.016362918241831625
+0/+3=+0,0.007730068272866641
+0/+3=00,0.008520002256954807
+0/+30=0,0.008745697680980768
+0/+31=0,0.01579867968176991
+0/+32=0,0.017773514641990746
+0/+33=0,0.012638943745415415
+0/+34=0,0.017773514641990718
+0/+35=0,0.017209276081927478
+0/+36=0,0.01760424307396988
+0/+37=0,0.01658861366585758
+0/+38=0,0.01754781921796518
+0/+39=0,0.0161936466738145
+0/+4=+0,0.007899339840884268
+0/+4=00,0.008689273824972428
+0/+40=0,0.00897139310500424
+0/+41=0,0.01613722281780655
+0/+42=0,0.01873272019409752
+0/+43=0,0.01777351464199004
+0/+44=0,0.014218811713591432
+0/+45=0,0.017209276081927266
+0/+46=0,0.01777351464199029
+0/+47=0,0.017322123793939184
+0/+48=0,0.017886362354003163
+0/+49=0,0.016362918241830712
+0/+5=+0,0.007335101280821281
+0/+5=00,0.007899339840884534
+0/+50=0,0.008125035264910398
+0/+51=0,0.0154037126897252
+0/+52=0,0.017265699937933175
+0/+53=0,0.017209276081928425
+0/+54=0,0.017322123793939853
+0/+55=0,0.012131129041358185
+0/+56=0,0.017152852225920345
+0/+57=0,0.016362918241833446
+0/+58=0,0.01704000451390866
+0/+59=0,0.015572984257743054
+0/+6=+0,0.007786492128872379
+0/+6=00,0.008576426112961149
+0/+60=0,0.008802121536986214
+0/+61=0,0.015967951249787584
+0/+62=0,0.018112057778027484
+0/+63=0,0.017660666929977347
+0/+64=0,0.017999210066015233
+0/+65=0,0.01698358065790201
+0/+66=0,0.0138802685775533
+0/+67=0,0.017265699937933573
+0/+68=0,0.017773514641989705
+0/+69=0,0.0162500705298198
+0/+7=+0,0.007335101280821653
+0/+7=00,0.007955763696891046
+0/+70=0,0.008125035264910424
+0/+71=0,0.01529086497771097
+0/+72=0,0.017378547649946847
+0/+73=0,0.01687073294589016
+0/+74=0,0.017491395361960396
+0/+75=0,0.016701461377869205
+0/+76=0,0.01732212379393981
+0/+77=0,0.012977486881452754
+0/+78=0,0.01692715680189499
+0/+79=0,0.015685831969757483
+0/+8=+0,0.0077300682728659795
+0/+8=00,0.008520002256954007
+0/+80=0,0.008745697680978971
+0/+81=0,0.015911527393782394
+0/+82=0,0.018055633922022064
+0/+83=0,0.01749139536195861
+0/+84=0,0.018168481634033392
+0/+85=0,0.017209276081926222
+0/+86=0,0.01799921006601433
+0/+87=0,0.01698358065790166
+0/+88=0,0.013936692433560093
+0/+89=0,0.015911527393782193
+0/+9=+0,0.006940134288777384
+0/+9=00,0.007391525136827452
+0/+90=0,0.007673644416860216
+0/+91=0,0.01450093099362286
+0/+92=0,0.016814309089882944
+0/+93=0,0.016701461377870246
+0/+94=0,0.016983580657901176
+0/+95=0,0.016306494385825546
+0/+96=0,0.016814309089881088
+0/+97=0,0.015911527393780284
+0/+98=0,0.016250070529818656
+0/+99=0,0.011849009761327196
+0/-+1=0,0.009027816961010625
+0/-+2=0,0.01117192348924986
+0/-+3=0,0.010889804209218649
+0/-+4=0,0.01117192348925134
+0/-+5=0,0.010325565649156014
+0/-+6=0,0.011171923489250876
+0/-+7=0,0.010607684929188491
